date,vol_annualized
2025-08-01,0.2151
2025-08-02,0.2182
2025-08-03,0.2140
2025-08-04,0.2143
2025-08-05,0.2128
2025-08-06,0.2135
2025-08-07,0.2147
2025-08-08,0.2134
2025-08-09,0.2201
2025-08-10,0.2140
2025-08-11,0.1803
2025-08-12,0.1881
2025-08-13,0.1885
2025-08-14,0.1870
2025-08-15,0.2025
2025-08-16,0.2328
2025-08-17,0.2328
2025-08-18,0.2321
2025-08-19,0.2294
2025-08-20,0.2316
2025-08-21,0.2470
2025-08-22,0.2503
2025-08-23,0.2453
2025-08-24,0.2705
2025-08-25,0.2727
2025-08-26,0.2763
2025-08-27,0.2871
2025-08-28,0.2884
2025-08-29,0.2871
2025-08-30,0.2899
2025-08-31,0.3071
2025-09-01,0.3039
2025-09-02,0.2984
2025-09-03,0.2994
2025-09-04,0.3014
2025-09-05,0.3006
2025-09-06,0.3006
2025-09-07,0.2995
2025-09-08,0.2920
2025-09-09,0.2932
2025-09-10,0.2945
2025-09-11,0.2851
2025-09-12,0.2932
2025-09-13,0.2938
2025-09-14,0.2817
2025-09-15,0.2541
2025-09-16,0.2533
2025-09-17,0.2532
2025-09-18,0.2557
2025-09-19,0.2538
2025-09-20,0.2372
2025-09-21,0.2379
2025-09-22,0.2327
2025-09-23,0.2037
