date,volume_usd,source
2025-07-01,1437790699.70,actual
2025-07-02,2485680094.35,actual
2025-07-03,2036604169.18,actual
2025-07-04,1316346813.83,actual
2025-07-05,635606350.49,actual
2025-07-06,953076962.64,actual
2025-07-07,1713728597.84,actual
2025-07-08,1549858347.49,actual
2025-07-09,2742767252.75,actual
2025-07-10,4095536884.50,actual
2025-07-11,4948255972.25,actual
2025-07-12,1943179446.99,actual
2025-07-13,2343704478.80,actual
2025-07-14,5170838630.66,actual
2025-07-15,5652955244.05,actual
2025-07-16,4791065050.19,actual
2025-07-17,5797018302.78,actual
2025-07-18,6253971612.07,actual
2025-07-19,2037797177.40,actual
2025-07-20,3054240884.50,actual
2025-07-21,4561867406.81,actual
2025-07-22,4833360747.82,actual
2025-07-23,4696266327.31,actual
2025-07-24,4463977156.03,actual
2025-07-25,6910798541.20,actual
2025-07-26,2549316675.04,actual
2025-07-27,2478218300.88,actual
2025-07-28,3891417885.89,actual
2025-07-29,2987677686.15,actual
2025-07-30,2726199035.06,actual
2025-07-31,2452021459.55,actual
2025-08-01,4058028879.41,actual
2025-08-02,2025804497.96,actual
2025-08-03,1374565013.32,actual
2025-08-04,2394826303.64,actual
2025-08-05,2381865322.35,actual
2025-08-06,2109867293.76,actual
2025-08-07,3139235164.57,actual
2025-08-08,3653284697.16,actual
2025-08-09,2749205360.53,actual
2025-08-10,2438126237.68,actual
2025-08-11,3927301489.81,actual
2025-08-12,4188504136.39,actual
2025-08-13,5144403313.13,actual
2025-08-14,5830753841.77,actual
2025-08-15,3518327761.86,actual
2025-08-16,1465175003.75,actual
2025-08-17,1952689331.04,actual
2025-08-18,3684857486.25,actual
2025-08-19,3909502525.50,actual
2025-08-20,3382936547.65,actual
2025-08-21,2550077520.96,actual
2025-08-22,5506680252.19,actual
2025-08-23,2164999817.72,actual
2025-08-24,3424706533.32,actual
2025-08-25,4600232657.99,actual
2025-08-26,3820823428.10,actual
2025-08-27,3494553407.62,actual
2025-08-28,3456192787.81,actual
2025-08-29,4213301356.73,actual
2025-08-30,1642967293.91,actual
2025-08-31,1593883356.54,actual
2025-09-01,2751807332.60,actual
2025-09-02,3101952867.02,actual
2025-09-03,2516243934.79,actual
2025-09-04,2599992893.75,actual
2025-09-05,3185743081.71,actual
2025-09-06,1063267998.04,actual
2025-09-07,1287489960.75,actual
2025-09-08,3112621283.17,actual
2025-09-09,2964889132.87,actual
2025-09-10,3074359783.85,actual
2025-09-11,2794401664.38,actual
2025-09-12,3871586659.29,actual
2025-09-13,2512481778.87,actual
2025-09-14,2041717717.33,actual
2025-09-15,3363007304.42,actual
2025-09-16,2840268044.73,actual
2025-09-17,3682267935.89,actual
2025-09-18,3438786015.02,actual
2025-09-19,2671619809.34,actual
2025-09-20,1441516127.51,actual
2025-09-21,1789778507.12,actual
2025-09-22,4757114788.60,actual
2025-09-23,489008250.15,actual
2025-09-24,2769136741.89,inferred
2025-09-25,2769136741.89,inferred
2025-09-26,2769136741.89,inferred
2025-09-27,2769136741.89,inferred
2025-09-28,2769136741.89,inferred
2025-09-29,2769136741.89,inferred
2025-09-30,2769136741.89,inferred
